,match_id,innings,batsman,p_bat,batting_team,bowler,p_bowl,bowling_team,ball,ball_id,outcome,total_runs,out,dismissal,p_out,over,noballs,wides,byes,legbyes,cur_bat_runs,cur_bat_bf,cur_bowl_ovr,cur_bowl_wkts,cur_bowl_runs,inns_runs,inns_wkts,inns_balls,trail_by,lead_by,day,session,target,start_date,season,venue,country,winner,toss,competition,batting_style,bowling_style,bowl_kind,batsman_runs,ballfaced,bowlruns,bat_out,wagonX,wagonY,wagonZone,line,length,shot,control,predscore,wprob,extras,player_dismissed,is_wkt,over_num,is_dot,is_one,is_two,is_three,is_four,is_six,bowler_wkt
1094326,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,6,26.06,no run,0,False,,32540.0,27,0,0,0,0,15,69,9,1,26,55,2,162,271,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,193.0,198.0,4,ON_THE_STUMPS,GOOD_LENGTH,DEFENDED,1,-1,-1,0,,0,26,1,0,0,0,0,0,0
1094327,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,1,28.01,no run,0,False,,32540.0,29,0,0,0,0,18,71,9,1,26,59,2,169,267,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,0.0,0.0,0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,LEFT_ALONE,1,-1,-1,0,,0,28,1,0,0,0,0,0,0
1094328,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,2,28.02,no run,0,False,,32540.0,29,0,0,0,0,18,72,9,1,26,59,2,170,267,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,0.0,0.0,0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,LEFT_ALONE,1,-1,-1,0,,0,28,1,0,0,0,0,0,0
1094329,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,3,28.03,no run,0,False,,32540.0,29,0,0,0,0,18,73,9,1,26,59,2,171,267,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,0.0,0.0,0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,LEFT_ALONE,1,-1,-1,0,,0,28,1,0,0,0,0,0,0
1094330,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,4,28.04,no run,0,False,,32540.0,29,0,0,0,0,18,74,9,1,26,59,2,172,267,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,184.0,166.0,3,OUTSIDE_OFFSTUMP,GOOD_LENGTH,DEFENDED,0,-1,-1,0,,0,28,1,0,0,0,0,0,0
1094331,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,5,28.05,no run,0,False,,32540.0,29,0,0,0,0,18,75,9,1,26,59,2,173,267,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,0.0,0.0,0,ON_THE_STUMPS,SHORT,LEFT_ALONE,1,-1,-1,0,,0,28,1,0,0,0,0,0,0
1094332,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,1,7.01,no run,0,False,,32540.0,8,0,0,0,0,2,11,3,1,6,16,2,43,310,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,176.0,199.0,5,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,DEFENDED,0,-1,-1,0,,0,7,1,0,0,0,0,0,0
1094333,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,2,7.02,no run,0,False,,32540.0,8,0,0,0,0,2,12,3,1,6,16,2,44,310,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,0.0,0.0,0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,LEFT_ALONE,1,-1,-1,0,,0,7,1,0,0,0,0,0,0
1094334,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,3,7.03,no run,0,False,,32540.0,8,0,0,0,0,2,13,3,1,6,16,2,45,310,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,165.0,142.0,8,OUTSIDE_OFFSTUMP,GOOD_LENGTH,DEFENDED,0,-1,-1,0,,0,7,1,0,0,0,0,0,0
1094335,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,4,7.04,no run,0,False,,32540.0,8,0,0,0,0,2,14,3,1,6,16,2,46,310,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,167.0,188.0,5,ON_THE_STUMPS,GOOD_LENGTH,DEFENDED,1,-1,-1,0,,0,7,1,0,0,0,0,0,0
1094336,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,5,7.05,run,3,False,,32540.0,8,0,0,0,0,5,15,3,1,9,19,2,47,307,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,3,1,3,True,303.0,254.0,3,ON_THE_STUMPS,GOOD_LENGTH,FLICK,1,-1,-1,0,,0,7,0,0,0,1,0,0,0
1094337,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,4,22.04,no run,0,False,,32540.0,23,0,0,0,0,15,55,6,1,25,53,2,136,273,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,0.0,0.0,0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,LEFT_ALONE,1,-1,-1,0,,0,22,1,0,0,0,0,0,0
1094338,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,5,22.05,no run,0,False,,32540.0,23,0,0,0,0,15,56,6,1,25,53,2,137,273,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,0.0,0.0,0,OUTSIDE_OFFSTUMP,GOOD_LENGTH,LEFT_ALONE,1,-1,-1,0,,0,22,1,0,0,0,0,0,0
1094339,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,6,22.06,no run,0,False,,32540.0,23,0,0,0,0,15,57,7,1,25,53,2,138,273,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,0.0,0.0,0,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,LEFT_ALONE,1,-1,-1,0,,0,22,1,0,0,0,0,0,0
1094340,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,1,11.01,no run,0,False,,32540.0,12,0,0,0,0,11,22,5,1,22,38,2,67,288,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,197.0,186.0,4,ON_THE_STUMPS,GOOD_LENGTH,DEFENDED,1,-1,-1,0,,0,11,1,0,0,0,0,0,0
1094341,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,2,11.02,no run,0,False,,32540.0,12,0,0,0,0,11,23,5,1,22,38,2,68,288,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,137.0,147.0,7,OUTSIDE_OFFSTUMP,GOOD_LENGTH,DEFENDED,0,-1,-1,0,,0,11,1,0,0,0,0,0,0
1094342,1144994,2,Cheteshwar Pujara,32540.0,India,Josh Hazlewood,288284.0,Australia,3,11.03,no run,0,False,,32540.0,12,0,0,0,0,11,24,5,1,22,38,2,69,288,0,2,2,0,2018-12-14,2018,Perth Stadium,Australia,Australia,Australia,Border-Gavaskar Trophy,RHB,RFM,pace bowler,0,1,0,True,0.0,0.0,0,ON_THE_STUMPS,SHORT,LEFT_ALONE,1,-1,-1,0,,0,11,1,0,0,0,0,0,0
